ASV_3198	"Membranipora membranacea"
ASV_3420	"Membranipora membranacea"
ASV_3914	"Membranipora membranacea"
ASV_5136	"Membranipora membranacea"
ASV_5710	"Membranipora membranacea"
ASV_7986	"Membranipora membranacea"
ASV_15538	"Membranipora membranacea"
ASV_587	"Flustrellidra hispida"
ASV_10635	"Flustrellidra hispida"
ASV_2512	"Flustrellidra hispida"
ASV_4642	"Flustrellidra hispida"
ASV_8870	"Flustrellidra hispida"
ASV_14862	"Flustrellidra hispida"
ASV_2783	"Amathia cf. gracilis AW-2014"
ASV_2449	"Amathia citrina"
ASV_758	"Amathia gracilis"
ASV_11760	"Amathia lendigera"
ASV_15054	"Amathia pustulosa"
ASV_173	"Amathia sp. n. 1 AW-2014"
ASV_237	"Amathia sp. n. 1 AW-2014"
ASV_224	"Amathia sp. n. 1 AW-2014"
ASV_11746	"Amathia sp. n. 1 AW-2014"
ASV_16372	"Crisia eburnea"
ASV_16908	"Crisia eburnea"
ASV_4329	"Lasaea adansoni"
ASV_4407	"Cerastoderma edule"
ASV_5048	"Cerastoderma edule"
ASV_19511	"Asbjornsenia pygmaea"
ASV_8325	"Hiatella arctica"
ASV_2038	"Hiatella arctica"
ASV_8144	"Hiatella arctica"
ASV_8204	"Hiatella sp. K HML-2015"
ASV_13647	"Spisula subtruncata"
ASV_6559	"Turtonia minuta"
ASV_18974	"Modiolus barbatus"
ASV_10505	"Mytilus"
ASV_13169	"Mytilus"
ASV_14327	"Mytilus"
ASV_17691	"Mytilus"
ASV_8888	"Mytilus"
ASV_9876	"Mytilus"
ASV_11288	"Mytilus"
ASV_16132	"Mytilus"
ASV_18944	"Mytilus"
ASV_19096	"Mytilus"
ASV_3169	"Littorina"
ASV_17037	"Littorina"
ASV_2168	"Littorina"
ASV_4312	"Littorina"
ASV_4686	"Littorina"
ASV_4990	"Littorina"
ASV_5532	"Littorina"
ASV_1915	"Littorina littorea"
ASV_11949	"Littorina littorea"
ASV_522	"Littorina littorea"
ASV_17186	"Littorina littorea"
ASV_13393	"Pusillina inconspicua"
ASV_20055	"Pusillina inconspicua"
ASV_15844	"Vitreolina antiflexa"
ASV_8713	"Nucella lapillus"
